fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
 6,50;0,115;0,29; 1,95;0,038; 73,0;166,0;0,989000;3,12;0,25;12,900000;7
 6,40;0,125;0,29; 5,85;0,042; 24,0; 99,0;0,992000;3,23;0,32;12,000000;7
 5,70;0,100;0,27; 1,30;0,047; 21,0;100,0;0,992800;3,27;0,46; 9,500000;5
 7,90;0,250;0,29; 5,30;0,031; 33,0;117,0;0,991800;3,06;0,32;11,800000;7
 6,90;0,200;0,28; 1,20;0,048; 36,0;159,0;0,993600;3,19;0,43; 9,100000;6
 6,90;0,230;0,34; 4,00;0,047; 24,0;128,0;0,994400;3,20;0,52; 9,700000;6
 6,80;0,390;0,31;14,35;0,043; 28,0;162,0;0,998800;3,17;0,54; 9,100000;5
 8,70;0,220;0,42; 2,30;0,053; 27,0;114,0;0,994000;2,99;0,43;10,000000;5
 7,40;0,410;0,34; 4,70;0,042; 19,0;127,0;0,995300;3,25;0,42;10,400000;5
 6,70;0,250;0,34;12,85;0,048; 30,0;161,0;0,998600;3,44;0,47; 9,500000;6
 6,00;0,260;0,42; 5,20;0,027; 70,0;178,0;0,991400;3,40;0,40;12,300000;8
 6,10;0,310;0,37; 8,40;0,031; 70,0;170,0;0,993400;3,42;0,40;11,700000;8
 9,20;0,280;0,46; 3,20;0,058; 39,0;133,0;0,996000;3,14;0,58; 9,500000;5
 9,00;0,310;0,49; 6,90;0,034; 26,0; 91,0;0,993700;2,99;0,34;11,500000;5
 8,50;0,160;0,33; 1,00;0,076; 17,0; 57,0;0,992100;3,14;0,46;10,600000;6
 9,30;0,340;0,49; 7,30;0,052; 30,0;146,0;0,998000;3,17;0,61;10,200000;5
 9,20;0,280;0,46; 3,20;0,058; 39,0;133,0;0,996000;3,14;0,58; 9,500000;5
 7,20;0,240;0,30; 1,60;0,048; 27,0;131,0;0,993300;3,25;0,45;10,500000;5
 7,20;0,250;0,32; 1,50;0,047; 27,0;132,0;0,993300;3,26;0,44;10,500000;5
 6,80;0,320;0,18; 7,50;0,041; 71,0;223,0;0,995900;3,14;0,41; 8,900000;5
 9,10;0,270;0,32; 1,10;0,031; 15,0;151,0;0,993600;3,03;0,41;10,600000;5
 8,90;0,340;0,32; 1,30;0,041; 12,0;188,0;0,995300;3,17;0,49; 9,500000;5
 7,00;0,170;0,37; 5,70;0,025; 29,0;111,0;0,993800;3,20;0,49;10,800000;6
 6,70;0,250;0,23; 7,20;0,038; 61,0;220,0;0,995200;3,14;0,35; 9,500000;5
 6,90;0,320;0,17; 7,60;0,042; 69,0;219,0;0,995900;3,13;0,40; 8,900000;5
 6,80;0,320;0,18; 7,50;0,041; 71,0;223,0;0,995900;3,14;0,41; 8,900000;5
 6,10;0,600;0,00; 1,30;0,042; 24,0; 79,0;0,993700;3,31;0,38; 9,400000;4
 5,30;0,395;0,07; 1,30;0,035; 26,0;102,0;0,992000;3,50;0,35;10,600000;6
 7,90;0,160;0,30; 4,80;0,037; 37,0;171,0;0,996700;3,47;0,44; 9,000000;4
 7,60;0,330;0,36; 2,10;0,034; 26,0;172,0;0,994400;3,42;0,48;10,500000;4
 7,80;0,300;0,29;16,85;0,054; 23,0;135,0;0,999800;3,16;0,38; 9,000000;6
 7,80;0,300;0,29;16,85;0,054; 23,0;135,0;0,999800;3,16;0,38; 9,000000;6
 5,70;0,260;0,27; 4,10;0,201; 73,5;189,5;0,994200;3,27;0,38; 9,400000;6
 7,80;0,300;0,29;16,85;0,054; 23,0;135,0;0,999800;3,16;0,38; 9,000000;6
 7,50;0,140;0,34; 1,30;0,055; 50,0;153,0;0,994500;3,29;0,80; 9,600000;6
 7,80;0,300;0,29;16,85;0,054; 23,0;135,0;0,999800;3,16;0,38; 9,000000;6
 6,60;0,250;0,41; 7,40;0,043; 29,0;151,0;0,994600;3,15;0,60;10,200000;7
 5,70;0,260;0,27; 4,10;0,201; 73,5;189,5;0,994200;3,27;0,38; 9,400000;6
 8,20;0,230;0,49; 0,90;0,057; 15,0; 73,0;0,992800;3,07;0,38;10,400000;6
 6,00;0,240;0,32; 6,30;0,030; 34,0;129,0;0,994600;3,52;0,41;10,400000;5
 6,10;0,450;0,27; 0,80;0,039; 13,0; 82,0;0,992700;3,23;0,32; 9,500000;5
 7,40;0,230;0,43; 1,40;0,044; 22,0;113,0;0,993800;3,22;0,62;10,600000;6
 7,20;0,200;0,38; 1,00;0,037; 21,0; 74,0;0,991800;3,21;0,37;11,000000;5
 7,50;0,140;0,34; 1,30;0,055; 50,0;153,0;0,994500;3,29;0,80; 9,600000;6
 7,70;0,250;0,43; 4,50;0,062; 20,0;115,0;0,996600;3,38;0,50; 9,900000;6
 8,20;0,610;0,45; 5,40;0,030; 15,0;118,0;0,995400;3,14;0,34; 9,600000;5
 7,60;0,210;0,44; 1,90;0,036; 10,0;119,0;0,991300;3,01;0,70;12,800000;6
 7,40;0,220;0,33; 2,00;0,045; 31,0;101,0;0,993100;3,42;0,55;11,400000;5
 7,20;0,260;0,26;12,70;0,036; 49,0;214,0;0,998600;3,41;0,50;10,000000;6
 6,40;0,250;0,41; 8,60;0,042; 57,0;173,0;0,996500;3,00;0,44; 9,100000;5
 6,30;0,320;0,35;11,10;0,039; 29,0;198,0;0,998400;3,36;0,50; 9,400000;7
 6,80;0,250;0,29; 2,00;0,042; 19,0;189,0;0,995200;3,46;0,54;10,200000;6
 9,80;0,440;0,40; 2,80;0,036; 35,0;167,0;0,995600;2,97;0,39; 9,200000;5
 7,20;0,200;0,25; 4,50;0,044; 31,0;109,0;0,994900;3,23;0,36; 9,400000;5
 8,20;0,610;0,45; 5,40;0,030; 15,0;118,0;0,995400;3,14;0,34; 9,600000;5
 7,50;0,420;0,45; 9,10;0,029; 20,0;125,0;0,996000;3,12;0,36;10,100000;6
 7,40;0,220;0,33; 2,00;0,045; 31,0;101,0;0,993100;3,42;0,55;11,400000;5
 6,40;0,260;0,30; 2,20;0,025; 33,0;134,0;0,992000;3,21;0,47;10,600000;6
 7,90;0,460;0,32; 4,10;0,033; 40,0;138,0;0,991200;3,18;0,44;12,800000;7
 6,50;0,410;0,64;11,80;0,065; 65,0;225,0;0,997800;3,12;0,51; 8,900000;5
 7,50;0,320;0,37; 1,20;0,048; 22,0;184,0;0,993800;3,09;0,43; 9,300000;5
 6,60;0,210;0,38; 2,20;0,026; 40,0;104,0;0,991400;3,25;0,40;11,100000;8
 7,10;0,210;0,30; 1,40;0,037; 45,0;143,0;0,993200;3,13;0,33; 9,900000;6
 7,60;0,260;0,47; 1,60;0,068;  5,0; 55,0;0,994400;3,10;0,45; 9,600000;5
 7,60;0,210;0,44; 1,90;0,036; 10,0;119,0;0,991300;3,01;0,70;12,800000;6
 6,90;0,250;0,26; 5,20;0,024; 36,0;135,0;0,994800;3,16;0,72;10,700000;7
 7,10;0,260;0,32;14,45;0,074; 29,0;107,0;0,998000;2,96;0,42; 9,200000;6
 7,30;0,220;0,40;14,75;0,042; 44,5;129,5;0,999800;3,36;0,41; 9,100000;7
 6,20;0,370;0,22; 8,30;0,025; 36,0;216,0;0,996400;3,33;0,60; 9,600000;6
 7,90;0,220;0,45;14,20;0,038; 53,0;141,0;0,999200;3,03;0,46; 9,200000;6
 6,90;0,250;0,26; 5,20;0,024; 36,0;135,0;0,994800;3,16;0,72;10,700000;7
 7,30;0,220;0,40;14,75;0,042; 44,5;129,5;0,999800;3,36;0,41; 9,100000;7
 7,10;0,260;0,32;14,45;0,074; 29,0;107,0;0,998000;2,96;0,42; 9,200000;6
 7,40;0,250;0,37; 6,90;0,020; 14,0; 93,0;0,993900;3,00;0,48;10,700000;7
 6,80;0,180;0,37; 1,50;0,027; 37,0; 93,0;0,992000;3,30;0,45;10,800000;6
 7,00;0,170;0,37; 1,50;0,028; 26,0; 75,0;0,992200;3,30;0,46;10,800000;7
 6,40;0,300;0,38; 7,80;0,046; 35,0;192,0;0,995500;3,10;0,37; 9,000000;5
 5,00;0,330;0,16; 1,50;0,049; 10,0; 97,0;0,991700;3,48;0,44;10,700000;6
 5,00;0,330;0,16; 1,50;0,049; 10,0; 97,0;0,991700;3,48;0,44;10,700000;6
 8,90;0,330;0,32; 1,50;0,047; 11,0;200,0;0,995400;3,19;0,46; 9,400000;5
 7,00;0,260;0,46;15,55;0,037; 61,0;171,0;0,998600;2,94;0,35; 8,800000;6
 6,40;0,300;0,38; 7,80;0,046; 35,0;192,0;0,995500;3,10;0,37; 9,000000;5
 6,30;0,210;0,40; 1,70;0,031; 48,0;134,0;0,991700;3,42;0,49;11,500000;6
 8,00;0,230;0,46; 1,50;0,030; 30,0;125,0;0,990700;3,23;0,47;12,500000;6
 9,20;0,280;0,41; 1,00;0,042; 14,0; 59,0;0,992200;2,96;0,25;10,500000;6
 7,30;0,270;0,39; 6,70;0,064; 28,0;188,0;0,995800;3,29;0,30; 9,700000;5
 7,60;0,320;0,36; 1,60;0,040; 32,0;155,0;0,993000;3,23;0,52;11,300000;6
 5,00;0,330;0,16; 1,50;0,049; 10,0; 97,0;0,991700;3,48;0,44;10,700000;6
 9,70;0,240;0,45; 1,20;0,033; 11,0; 59,0;0,992600;2,74;0,47;10,800000;6
 8,00;0,280;0,42; 7,10;0,045; 41,0;169,0;0,995900;3,17;0,43;10,600000;5
 8,20;0,370;0,36; 1,00;0,034; 17,0; 93,0;0,990600;3,04;0,32;11,700000;8
 8,00;0,610;0,38;12,10;0,301; 24,0;220,0;0,999300;2,94;0,48; 9,200000;5
 7,20;0,260;0,44; 7,10;0,027; 25,0;126,0;0,993000;3,02;0,34;11,100000;8
 8,20;0,370;0,36; 1,00;0,034; 17,0; 93,0;0,990600;3,04;0,32;11,700000;8
 6,40;0,230;0,33; 1,15;0,044; 15,5;217,5;0,992000;3,33;0,44;11,000000;6
 5,90;0,400;0,32; 6,00;0,034; 50,0;127,0;0,992000;3,51;0,58;12,500000;7
 7,60;0,280;0,39; 1,20;0,038; 21,0;115,0;0,994000;3,16;0,67;10,000000;6
 8,00;0,280;0,42; 7,10;0,045; 41,0;169,0;0,995900;3,17;0,43;10,600000;5
 7,20;0,230;0,39; 2,30;0,033; 29,0;102,0;0,990800;3,26;0,54;12,300000;7
 6,80;0,320;0,37; 3,40;0,023; 19,0; 87,0;0,990200;3,14;0,53;12,700000;6
 7,20;0,230;0,39; 2,30;0,033; 29,0;102,0;0,990800;3,26;0,54;12,300000;7
 6,90;0,180;0,38; 6,50;0,039; 20,0;110,0;0,994300;3,10;0,42;10,500000;5
 9,40;0,260;0,53; 1,20;0,047; 25,0;109,0;0,992100;3,23;0,28;12,500000;6
 8,30;0,330;0,42; 1,15;0,033; 18,0; 96,0;0,991100;3,20;0,32;12,400000;3
 7,30;0,290;0,30;13,00;0,043; 46,0;238,0;0,998600;3,06;0,41; 8,700000;6
 7,90;0,410;0,37; 4,50;0,030; 40,0;114,0;0,992000;3,17;0,54;12,400000;7
 7,90;0,440;0,37; 5,85;0,033; 27,0; 93,0;0,992000;3,16;0,54;12,600000;7
 7,70;0,390;0,30; 5,20;0,037; 29,0;131,0;0,994300;3,38;0,44;11,000000;6
 7,70;0,260;0,31; 1,30;0,043; 47,0;155,0;0,993700;3,42;0,50;10,100000;6
 7,80;0,320;0,31; 1,70;0,036; 46,0;195,0;0,993000;3,03;0,48;10,500000;5
 6,80;0,320;0,37; 3,40;0,023; 19,0; 87,0;0,990200;3,14;0,53;12,700000;6
 7,30;0,240;0,39; 3,60;0,024; 35,0;116,0;0,992800;3,17;0,51;10,900000;5
 7,10;0,440;0,37; 2,70;0,041; 35,0;128,0;0,989600;3,07;0,43;13,500000;7
10,30;0,250;0,48; 2,20;0,042; 28,0;164,0;0,998000;3,19;0,59; 9,700000;5
 7,90;0,140;0,28; 1,80;0,041; 44,0;178,0;0,995400;3,45;0,43; 9,200000;6
 7,40;0,180;0,42; 2,10;0,036; 33,0;187,0;0,993800;3,40;0,41;10,600000;7
 8,10;0,430;0,42; 6,60;0,033; 36,0;141,0;0,991800;2,98;0,39;13,300000;7
 7,10;0,440;0,37; 2,70;0,041; 35,0;128,0;0,989600;3,07;0,43;13,500000;7
 6,40;0,260;0,22; 5,10;0,037; 23,0;131,0;0,994400;3,29;0,32;10,100000;5
 8,00;0,660;0,72;17,55;0,042; 62,0;233,0;0,999900;2,92;0,68; 9,400000;4
 8,00;0,200;0,40; 5,20;0,055; 41,0;167,0;0,995300;3,18;0,40;10,600000;7
 7,20;0,210;0,34; 1,10;0,046; 25,0; 80,0;0,992000;3,25;0,40;11,300000;6
 7,20;0,180;0,31; 1,10;0,045; 20,0; 73,0;0,992500;3,32;0,40;10,800000;7
 8,40;0,570;0,44;10,70;0,051; 46,0;195,0;0,998100;3,15;0,51;10,400000;5
 5,30;0,260;0,23; 5,15;0,034; 48,0;160,0;0,995200;3,82;0,51;10,500000;7
 5,70;0,245;0,33; 1,10;0,049; 28,0;150,0;0,992700;3,13;0,42; 9,300000;5
 5,60;0,245;0,32; 1,10;0,047; 24,0;152,0;0,992700;3,12;0,42; 9,300000;6
 7,30;0,250;0,41; 1,80;0,037; 52,0;165,0;0,991100;3,29;0,39;12,200000;7
 7,00;0,160;0,73; 1,00;0,138; 58,0;150,0;0,993600;3,08;0,30; 9,200000;5
 6,40;0,220;0,34; 1,80;0,057; 29,0;104,0;0,995900;3,81;0,57;10,300000;6
 7,30;0,180;0,65; 1,40;0,046; 28,0;157,0;0,994600;3,33;0,62; 9,400000;6
 6,40;0,170;0,27; 6,70;0,036; 88,0;223,0;0,994800;3,28;0,35;10,200000;6
 6,90;0,290;0,16; 6,80;0,034; 65,0;212,0;0,995500;3,08;0,39; 9,000000;6
 6,20;0,210;0,38; 6,80;0,036; 64,0;245,0;0,995100;3,06;0,36; 9,300000;6
 6,40;0,230;0,30; 7,10;0,037; 63,0;236,0;0,995200;3,06;0,34; 9,200000;6
 7,30;0,190;0,68; 1,50;0,050; 31,0;156,0;0,994600;3,32;0,64; 9,400000;6
 7,30;0,180;0,65; 1,40;0,046; 28,0;157,0;0,994600;3,33;0,62; 9,400000;6
 9,60;0,290;0,46; 1,45;0,039; 77,5;223,0;0,994400;2,92;0,46; 9,500000;6
 7,20;0,140;0,35; 1,20;0,036; 15,0; 73,0;0,993800;3,46;0,39; 9,900000;5
 6,90;0,310;0,34; 7,40;0,059; 36,0;174,0;0,996300;3,46;0,62;11,100000;7
 7,50;0,280;0,34; 4,20;0,028; 36,0;116,0;0,991000;2,99;0,41;12,300000;8
 8,00;0,220;0,42;14,60;0,044; 45,0;163,0;1,000300;3,21;0,69; 8,600000;7
 7,60;0,310;0,29;10,50;0,040; 21,0;145,0;0,996600;3,04;0,35; 9,400000;5
 8,40;0,350;0,56;13,80;0,048; 55,0;190,0;0,999300;3,07;0,58; 9,400000;6
 8,00;0,220;0,42;14,60;0,044; 45,0;163,0;1,000300;3,21;0,69; 8,600000;7
 8,10;0,500;0,47; 1,10;0,037; 23,0;126,0;0,993800;3,21;0,42;10,900000;5
 7,00;0,390;0,31; 5,30;0,169; 32,0;162,0;0,996500;3,20;0,48; 9,400000;5
 8,10;0,500;0,47; 1,10;0,037; 23,0;126,0;0,993800;3,21;0,42;10,900000;5
 8,40;0,350;0,56;13,80;0,048; 55,0;190,0;0,999300;3,07;0,58; 9,400000;6
 6,20;0,220;0,27; 1,50;0,064; 20,0;132,0;0,993800;3,22;0,46; 9,200000;6
 8,00;0,220;0,42;14,60;0,044; 45,0;163,0;1,000300;3,21;0,69; 8,600000;7
 7,60;0,310;0,29;10,50;0,040; 21,0;145,0;0,996600;3,04;0,35; 9,400000;5
 7,00;0,240;0,36; 4,90;0,083; 10,0;133,0;0,994200;3,33;0,37;10,800000;6
 6,60;0,270;0,30; 1,90;0,025; 14,0;153,0;0,992800;3,29;0,62;10,500000;6
 7,80;0,160;0,41; 1,70;0,026; 29,0;140,0;0,991000;3,02;0,78;12,500000;6
 7,70;0,270;0,34; 1,80;0,028; 26,0;168,0;0,991100;2,99;0,48;12,100000;7
 7,40;0,310;0,74;10,70;0,039; 51,0;147,0;0,997700;3,02;0,43; 8,700000;5
 8,00;0,450;0,36; 8,80;0,026; 50,0;151,0;0,992700;3,07;0,25;12,700000;8
 7,70;0,270;0,34; 1,80;0,028; 26,0;168,0;0,991100;2,99;0,48;12,100000;7
 7,80;0,160;0,41; 1,70;0,026; 29,0;140,0;0,991000;3,02;0,78;12,500000;6
 6,60;0,160;0,29; 1,80;0,050; 40,0;147,0;0,991200;3,06;0,44;11,400000;7
 8,30;0,210;0,40; 1,60;0,032; 35,0;110,0;0,990700;3,02;0,60;12,900000;7
 7,20;0,320;0,33; 1,40;0,029; 29,0;109,0;0,990200;3,15;0,51;12,800000;7
 6,60;0,160;0,30; 1,60;0,034; 15,0; 78,0;0,992000;3,38;0,44;11,200000;6
 8,40;0,160;0,33; 1,50;0,033; 16,0; 98,0;0,994000;3,14;0,42; 9,700000;6
 7,50;0,230;0,32; 9,20;0,038; 54,0;191,0;0,996600;3,04;0,56; 9,700000;6
 6,20;0,170;0,30; 1,10;0,037; 14,0; 79,0;0,993000;3,50;0,54;10,300000;6
 6,90;0,390;0,22; 4,30;0,030; 10,0;102,0;0,993000;3,00;0,87;11,600000;4
 6,90;0,410;0,22; 4,20;0,031; 10,0;102,0;0,993000;3,00;0,86;11,600000;4
 7,50;0,230;0,32; 9,20;0,038; 54,0;191,0;0,996600;3,04;0,56; 9,700000;6
 7,50;0,380;0,33; 5,00;0,045; 30,0;131,0;0,994200;3,32;0,44;10,900000;6
 7,30;0,420;0,38; 6,80;0,045; 29,0;122,0;0,992500;3,19;0,37;12,600000;7
 7,30;0,340;0,39; 5,20;0,040; 45,0;163,0;0,992500;3,30;0,47;12,400000;6
 7,80;0,230;0,28; 4,75;0,042; 45,0;166,0;0,992800;2,96;0,40;11,500000;5
 9,00;0,245;0,38; 5,90;0,045; 52,0;159,0;0,995000;2,93;0,35;10,200000;6
 6,90;0,200;0,40; 7,70;0,032; 51,0;176,0;0,993900;3,22;0,27;11,400000;5
 7,40;0,190;0,42; 6,40;0,067; 39,0;212,0;0,995800;3,30;0,33; 9,600000;6
 8,20;0,200;0,36; 8,10;0,035; 60,0;163,0;0,995200;3,05;0,30;10,300000;6
 8,00;0,590;0,71;17,35;0,038; 61,0;228,0;1,000000;2,95;0,75; 9,300000;5
 7,90;0,140;0,45; 1,80;0,050; 17,0;114,0;0,994800;3,33;0,49;10,700000;7
 6,80;0,240;0,40; 1,80;0,047; 34,0;105,0;0,990000;3,13;0,49;12,800000;8
 9,70;0,140;0,59; 1,50;0,049; 23,0;142,0;0,995800;2,98;0,62; 9,500000;5
 9,20;0,150;0,68; 1,60;0,046; 22,0;130,0;0,994800;3,02;0,45;10,400000;6
 9,40;0,170;0,55; 1,60;0,049; 14,0; 94,0;0,994900;3,02;0,61;10,300000;6
 5,20;0,365;0,08;13,50;0,041; 37,0;142,0;0,997000;3,46;0,39; 9,900000;6
 6,30;0,230;0,22; 3,75;0,039; 37,0;116,0;0,992700;3,23;0,50;10,700000;6
 9,60;0,250;0,54; 1,30;0,040; 16,0;160,0;0,993800;2,94;0,43;10,500000;5
 9,20;0,320;0,42; 1,30;0,046; 14,0;186,0;0,994900;3,08;0,48; 9,600000;5
 6,40;0,310;0,40; 6,20;0,040; 46,0;169,0;0,995300;3,15;0,46; 9,300000;6
 8,10;0,200;0,36; 9,70;0,044; 63,0;162,0;0,997000;3,10;0,46;10,000000;6
 7,90;0,255;0,26; 2,00;0,026; 40,0;190,0;0,993200;3,04;0,39;11,200000;6
 7,00;0,150;0,34; 1,40;0,039; 21,0;177,0;0,992700;3,32;0,62;10,800000;5
 6,40;0,150;0,31; 1,10;0,044; 25,0; 96,0;0,993200;3,54;0,51;10,300000;6
 6,40;0,250;0,53; 6,60;0,038; 59,0;234,0;0,995500;3,03;0,42; 8,800000;5
 7,60;0,190;0,42; 1,50;0,044;  6,0;114,0;0,991400;3,04;0,74;12,800000;6
 7,30;0,430;0,37; 4,60;0,028; 17,0;114,0;0,991000;3,23;0,43;13,200000;6
 5,10;0,310;0,30; 0,90;0,037; 28,0;152,0;0,992000;3,54;0,56;10,100000;6
 6,20;0,200;0,26; 1,70;0,093; 40,0;161,0;0,992400;3,44;0,66;11,000000;5
 6,90;0,160;0,35; 1,30;0,043; 21,0;182,0;0,992700;3,25;0,62;10,800000;6
 7,70;0,320;0,48; 2,30;0,040; 28,0;114,0;0,991100;3,20;0,52;12,800000;7
 6,50;0,220;0,72; 6,80;0,042; 33,0;168,0;0,995800;3,12;0,36; 9,200000;6
 6,80;0,260;0,33; 1,50;0,047; 44,0;167,0;0,992800;3,12;0,44;10,500000;6
 5,20;0,370;0,33; 1,20;0,028; 13,0; 81,0;0,990200;3,37;0,38;11,700000;6
 8,40;0,190;0,43; 2,10;0,052; 20,0;104,0;0,994000;2,85;0,46; 9,500000;5
 8,30;0,210;0,41; 2,20;0,050; 24,0;108,0;0,994000;2,85;0,45; 9,500000;5
 6,80;0,150;0,32; 8,80;0,058; 24,0;110,0;0,997200;3,40;0,40; 8,800000;6
 7,90;0,160;0,64;17,00;0,050; 69,0;210,0;1,000400;3,15;0,51; 9,300000;7
 7,80;0,210;0,39; 1,80;0,034; 62,0;180,0;0,991000;3,09;0,75;12,600000;8
 9,00;0,240;0,50; 1,20;0,048; 26,0;107,0;0,991800;3,21;0,34;12,400000;6
 5,70;0,210;0,24; 2,30;0,047; 60,0;189,0;0,995000;3,65;0,72;10,100000;6
 7,80;0,290;0,36; 7,00;0,042; 38,0;161,0;0,994100;3,26;0,37;11,200000;8
 6,70;0,180;0,30; 6,40;0,048; 40,0;251,0;0,995600;3,29;0,52;10,000000;5
 6,70;0,180;0,30; 6,40;0,048; 40,0;251,0;0,995600;3,29;0,52;10,000000;5
 8,40;0,580;0,27;12,15;0,033; 37,0;116,0;0,995900;2,99;0,39;10,800000;6
 7,20;0,160;0,32; 0,80;0,040; 50,0;121,0;0,992200;3,27;0,33;10,000000;6
 7,60;0,540;0,23; 2,00;0,029; 13,0;151,0;0,993100;3,04;0,33;10,400000;5
 8,40;0,580;0,27;12,15;0,033; 37,0;116,0;0,995900;2,99;0,39;10,800000;6
 6,60;0,250;0,31;12,40;0,059; 52,0;181,0;0,998400;3,51;0,47; 9,800000;6
 7,30;0,230;0,37; 1,90;0,041; 51,0;165,0;0,990800;3,26;0,40;12,200000;8
 7,30;0,390;0,37; 1,10;0,043; 36,0;113,0;0,991000;3,39;0,48;12,700000;8
 7,00;0,460;0,39; 6,20;0,039; 46,0;163,0;0,992800;3,21;0,35;12,200000;7
 8,20;0,350;0,40; 6,30;0,039; 35,0;162,0;0,993600;3,15;0,34;11,900000;7
 7,80;0,290;0,36; 7,00;0,042; 38,0;161,0;0,994100;3,26;0,37;11,200000;8
 9,20;0,350;0,39; 0,90;0,042; 15,0; 61,0;0,992400;2,96;0,28;10,400000;4
 8,00;0,570;0,39; 3,90;0,034; 22,0;122,0;0,991700;3,29;0,67;12,800000;7
 6,50;0,370;0,33; 3,90;0,027; 40,0;130,0;0,990600;3,28;0,39;12,700000;7
 5,70;0,210;0,24; 2,30;0,047; 60,0;189,0;0,995000;3,65;0,72;10,100000;6
 6,70;0,180;0,30; 6,40;0,048; 40,0;251,0;0,995600;3,29;0,52;10,000000;5
 7,80;0,130;0,30; 1,80;0,040; 43,0;179,0;0,995500;3,43;0,41; 9,000000;5
 7,60;0,190;0,41; 1,10;0,040; 38,0;143,0;0,990700;2,92;0,42;11,400000;5
 7,30;0,220;0,41;15,40;0,050; 55,0;191,0;1,000000;3,32;0,59; 8,900000;6
 6,30;0,290;0,40; 6,50;0,039; 43,0;167,0;0,995300;3,15;0,44; 9,300000;6
 6,80;0,350;0,32; 2,40;0,048; 35,0;103,0;0,991100;3,28;0,46;12,000000;8
 6,50;0,190;0,32; 1,40;0,040; 31,0;132,0;0,992200;3,36;0,54;10,800000;7
 6,20;0,120;0,26; 5,70;0,044; 56,0;158,0;0,995100;3,52;0,37;10,500000;6
 6,00;0,130;0,28; 5,70;0,038; 56,0;189,5;0,994800;3,59;0,43;10,600000;7
 6,40;0,250;0,33; 1,40;0,040; 42,0;115,0;0,990600;3,19;0,48;11,300000;7
 6,90;0,320;0,16; 1,40;0,051; 15,0; 96,0;0,994000;3,22;0,38; 9,500000;4
 7,60;0,190;0,41; 1,10;0,040; 38,0;143,0;0,990700;2,92;0,42;11,400000;5
 6,70;0,130;0,28; 1,20;0,046; 35,0;140,0;0,992700;3,33;0,33;10,100000;7
 7,00;0,140;0,41; 0,90;0,037; 22,0; 95,0;0,991400;3,25;0,43;10,900000;6
 7,60;0,270;0,24; 3,80;0,058; 19,0;115,0;0,995800;3,15;0,45; 8,900000;5
 7,30;0,220;0,41;15,40;0,050; 55,0;191,0;1,000000;3,32;0,59; 8,900000;6
 7,40;0,640;0,47;14,15;0,168; 42,0;185,0;0,998400;2,90;0,49; 9,300000;5
 7,60;0,280;0,39; 1,90;0,052; 23,0;116,0;0,994100;3,25;0,40;10,400000;6
 8,30;0,260;0,41; 9,20;0,042; 41,0;162,0;0,994400;3,10;0,38;12,000000;7
10,70;0,220;0,56; 8,20;0,044; 37,0;181,0;0,998000;2,87;0,68; 9,500000;6
10,70;0,220;0,56; 8,20;0,044; 37,0;181,0;0,998000;2,87;0,68; 9,500000;6
 6,90;0,230;0,34; 2,70;0,032; 24,0;121,0;0,990200;3,14;0,38;12,400000;7
 6,20;0,300;0,32; 1,70;0,032; 30,0;130,0;0,991100;3,28;0,41;11,200000;7
 6,90;0,270;0,41; 1,70;0,047;  6,0;134,0;0,992900;3,15;0,69;11,400000;6
 6,90;0,280;0,41; 1,70;0,050; 10,0;136,0;0,993000;3,16;0,71;11,400000;6
 6,90;0,280;0,30; 1,60;0,047; 46,0;132,0;0,991800;3,35;0,38;11,100000;7
 6,90;0,460;0,20; 0,90;0,054;  5,0;126,0;0,992000;3,10;0,42;10,400000;6
 6,90;0,380;0,32; 8,50;0,044; 36,0;152,0;0,993200;3,38;0,35;12,000000;7
 5,70;0,430;0,30; 5,70;0,039; 24,0; 98,0;0,992000;3,54;0,61;12,300000;7
 6,60;0,560;0,16; 3,10;0,045; 28,0; 92,0;0,994000;3,12;0,35; 9,100000;6
 7,10;0,360;0,56; 1,30;0,046; 25,0;102,0;0,992300;3,24;0,33;10,500000;6
 6,80;0,230;0,40; 1,60;0,047;  5,0;133,0;0,993000;3,23;0,70;11,400000;6
 6,20;0,330;0,29; 1,30;0,042; 26,0;138,0;0,995600;3,77;0,64; 9,500000;5
 5,60;0,490;0,13; 4,50;0,039; 17,0;116,0;0,990700;3,42;0,90;13,700000;7
 6,60;0,420;0,33; 2,80;0,034; 15,0; 85,0;0,990000;3,28;0,51;13,400000;6
 7,30;0,180;0,29; 1,20;0,044; 12,0;143,0;0,991800;3,20;0,48;11,300000;7
 8,10;0,190;0,40; 0,90;0,037; 73,0;180,0;0,992600;3,06;0,34;10,000000;6
 5,90;0,190;0,26; 7,40;0,034; 33,0;123,0;0,995000;3,49;0,42;10,100000;6
 6,20;0,160;0,47; 1,40;0,029; 23,0; 81,0;0,990000;3,26;0,42;12,200000;6
 6,60;0,420;0,33; 2,80;0,034; 15,0; 85,0;0,990000;3,28;0,51;13,400000;6
 5,70;0,135;0,30; 4,60;0,042; 19,0;101,0;0,994600;3,31;0,42; 9,300000;6
 5,60;0,490;0,13; 4,50;0,039; 17,0;116,0;0,990700;3,42;0,90;13,700000;7
 6,90;0,190;0,33; 1,60;0,039; 27,0; 98,0;0,989800;3,09;0,46;12,300000;7
 7,30;0,180;0,29; 1,20;0,044; 12,0;143,0;0,991800;3,20;0,48;11,300000;7
